"Gemiddelde bevolking; geslacht, leeftijd, burgerlijke staat en regio",,,
,Onderwerpen,Totale bevolking,Totale bevolking
,Onderwerpen,Mannen en Vrouwen,Mannen en Vrouwen
Totaal alle leeftijden,Huizen,41280,41344
Totaal alle leeftijden,Hulst,27374,27366
Totaal alle leeftijden,IJsselstein,34168,34081
Totaal alle leeftijden,Kaag en Braassem,25794.5,25976
Totaal alle leeftijden,Kampen,51262,51691
Totaal alle leeftijden,Kapelle,12522.5,12592
Totaal alle leeftijden,Katwijk,63207.5,63936
Totaal alle leeftijden,Kerkrade,46654,46273.5
Totaal alle leeftijden,Koggenland,22455.5,22448.5
Totaal alle leeftijden,Kollumerland en Nieuwkruisland,12856.5,12823
Totaal alle leeftijden,Korendijk,10740,10801.5
Totaal alle leeftijden,Krimpen aan den IJssel,28897.5,29012
Totaal alle leeftijden,Krimpenerwaard, ,54430.5
Totaal alle leeftijden,Laarbeek,21857.5,21939
Totaal alle leeftijden,Landerd,15278,15296.5
Totaal alle leeftijden,Landgraaf,37514.5,37460.5
Totaal alle leeftijden,Landsmeer,10633.5,10900
Totaal alle leeftijden,Langedijk,27111,27367
Totaal alle leeftijden,Lansingerland,57627.5,58584
Totaal alle leeftijden,Laren (NH.),10859.5,10906.5
Totaal alle leeftijden,Leek,19537.5,19507
Totaal alle leeftijden,Leerdam,20579,20639.5
Totaal alle leeftijden,Leeuwarden,107516.5,107794
Totaal alle leeftijden,Leeuwarderadeel,10249.5,10198
Totaal alle leeftijden,Leiden,121362.5,122061.5
Totaal alle leeftijden,Leiderdorp,26833,26910.5
Totaal alle leeftijden,Leidschendam-Voorburg,73667.5,74101
Totaal alle leeftijden,Lelystad,76280,76605
Totaal alle leeftijden,Leudal,36231.5,36192
Totaal alle leeftijden,Leusden,29029.5,29185.5
Totaal alle leeftijden,Lingewaal,11069.5,11095.5
Totaal alle leeftijden,Lingewaard,45782,45869
Totaal alle leeftijden,Lisse,22437.5,22572.5
Totaal alle leeftijden,Littenseradiel,10902.5,10856
Totaal alle leeftijden,Lochem,33246,33288.5
Totaal alle leeftijden,Loon op Zand,23020,22944.5
Totaal alle leeftijden,Lopik,14049,14127.5
Totaal alle leeftijden,Loppersum,10168,10091
Totaal alle leeftijden,Losser,22539.5,22455.5
Totaal alle leeftijden,Maasdriel,24170.5,24134.5
Totaal alle leeftijden,Maasgouw,23836.5,23761.5
Totaal alle leeftijden,Maassluis,32140.5,32246.5
Totaal alle leeftijden,Maastricht,122442.5,122465
Totaal alle leeftijden,De Marne,10183,10129
Totaal alle leeftijden,Marum,10344.5,10308
Totaal alle leeftijden,Medemblik,43462,43664.5
Totaal alle leeftijden,Meerssen,19158.5,19051.5
Totaal alle leeftijden,Menameradiel,13642.5,13577.5
Totaal alle leeftijden,Menterwolde,12227.5,12215
Totaal alle leeftijden,Meppel,32833,32796.5
Totaal alle leeftijden,Middelburg (Z.),47627.5,47743
Totaal alle leeftijden,Midden-Delfland,18582.5,18791
Totaal alle leeftijden,Midden-Drenthe,33325,33367
Totaal alle leeftijden,Mill en Sint Hubert,10840.5,10816
Totaal alle leeftijden,Moerdijk,36772.5,36789
Totaal alle leeftijden,Molenwaard,29012.5,29030
Totaal alle leeftijden,Montferland,35068.5,35161.5
Totaal alle leeftijden,Montfoort,13655.5,13727.5
Totaal alle leeftijden,Mook en Middelaar,7779,7758.5
Totaal alle leeftijden,Muiden,6268,6225.5
Totaal alle leeftijden,Naarden,17207,17303
Totaal alle leeftijden,Neder-Betuwe,22641.5,22888.5
Totaal alle leeftijden,Nederweert,16763.5,16784.5
Totaal alle leeftijden,Neerijnen,12029,12080
Totaal alle leeftijden,Nieuwegein,61151,61506.5
Totaal alle leeftijden,Nieuwkoop,27109,27273.5
Totaal alle leeftijden,Nijkerk,40754,41034.5
Totaal alle leeftijden,Nijmegen,169486.5,171372.5
Totaal alle leeftijden,Nissewaard, ,85207
Totaal alle leeftijden,Noord-Beveland,7481.5,7427
Totaal alle leeftijden,Noordenveld,31112,31088
Totaal alle leeftijden,Noordoostpolder,46417.5,46459
Totaal alle leeftijden,Noordwijk,25647.5,25682
Totaal alle leeftijden,Noordwijkerhout,16009.5,16101.5
Totaal alle leeftijden,"Nuenen, Gerwen en Nederwetten",22620,22691.5
Totaal alle leeftijden,Nunspeet,26712,26789.5
Totaal alle leeftijden,Nuth,15539,15460
Totaal alle leeftijden,Oegstgeest,22953.5,23103
Totaal alle leeftijden,Oirschot,18029.5,18139
Totaal alle leeftijden,Oisterwijk,25767,25783.5
Totaal alle leeftijden,Oldambt,38490,38324
Totaal alle leeftijden,Oldebroek,22918,23052.5
Totaal alle leeftijden,Oldenzaal,32128.5,32115
Totaal alle leeftijden,Olst-Wijhe,17804.5,17862.5
Totaal alle leeftijden,Ommen,17351,17518.5
Totaal alle leeftijden,Onderbanken,7873.5,7867.5
Totaal alle leeftijden,Oost Gelre,29616.5,29535
Totaal alle leeftijden,Oosterhout,53755,53905.5
Totaal alle leeftijden,Ooststellingwerf,25644.5,25594
Totaal alle leeftijden,Oostzaan,9163,9345.5
Totaal alle leeftijden,Opmeer,11334.5,11318.5
Totaal alle leeftijden,Opsterland,29861,29844.5
Totaal alle leeftijden,Oss,85062,89901
Totaal alle leeftijden,Oud-Beijerland,23708.5,23776.5
Totaal alle leeftijden,Oude IJsselstreek,39576.5,39607.5
Totaal alle leeftijden,Ouder-Amstel,13280,13350
Totaal alle leeftijden,Oudewater,9898.5,9986.5
Totaal alle leeftijden,Overbetuwe,46749,46917.5
Totaal alle leeftijden,Papendrecht,32152.5,32218
Totaal alle leeftijden,Peel en Maas,43381,43382
Totaal alle leeftijden,Pekela,12692,12659.5
Totaal alle leeftijden,Pijnacker-Nootdorp,51137,51548.5
Totaal alle leeftijden,Purmerend,79593.5,79750
Totaal alle leeftijden,Putten,24124.5,24446.5
Totaal alle leeftijden,Raalte,36561,36651.5
Totaal alle leeftijden,Reimerswaal,21992.5,22161.5
Totaal alle leeftijden,Renkum,31494,31331
Totaal alle leeftijden,Renswoude,4950,5013.5
Totaal alle leeftijden,Reusel-De Mierden,12743.5,12792.5
Totaal alle leeftijden,Rheden,43632.5,43724.5
Totaal alle leeftijden,Rhenen,19212,19354
Totaal alle leeftijden,Ridderkerk,45201,45123
Totaal alle leeftijden,Rijnwaarden,10914.5,10889
Totaal alle leeftijden,Rijssen-Holten,37745.5,37852.5
Totaal alle leeftijden,Rijswijk (ZH.),47925,48772
Totaal alle leeftijden,Roerdalen,20765.5,20692.5
Totaal alle leeftijden,Roermond,56967,57007.5
Totaal alle leeftijden,De Ronde Venen,42615,42582
Totaal alle leeftijden,Roosendaal,76950.5,76917
Totaal alle leeftijden,Rotterdam,621004.5,626629
Totaal alle leeftijden,Rozendaal,1506,1503.5
Totaal alle leeftijden,Rucphen,22206.5,22254.5
Totaal alle leeftijden,Schagen,46057.5,46148
Totaal alle leeftijden,Scherpenzeel,9510,9525.5
Totaal alle leeftijden,Schiedam,76659.5,76988.5
Totaal alle leeftijden,Schiermonnikoog,934,922.5
Totaal alle leeftijden,Schijndel,23451.5,23584
Totaal alle leeftijden,Schinnen,12946.5,12976
Totaal alle leeftijden,Schouwen-Duiveland,33836.5,33778
Totaal alle leeftijden,Simpelveld,10844,10792.5
Totaal alle leeftijden,Sint Anthonis,11651.5,11603
Totaal alle leeftijden,Sint-Michielsgestel,28258,28399
Totaal alle leeftijden,Sint-Oedenrode,17935.5,17916.5
Totaal alle leeftijden,Sittard-Geleen,93707.5,93639.5
Totaal alle leeftijden,Sliedrecht,24643,24863
Totaal alle leeftijden,Slochteren,15565.5,15640.5
Totaal alle leeftijden,Sluis,23783.5,23693
Totaal alle leeftijden,Smallingerland,55551,55537
Totaal alle leeftijden,Soest,45473.5,45470.5
Totaal alle leeftijden,Someren,18692.5,18804.5
Totaal alle leeftijden,Son en Breugel,16289.5,16384.5
Totaal alle leeftijden,Stadskanaal,32706.5,32615.5
Totaal alle leeftijden,Staphorst,16394,16482.5
Totaal alle leeftijden,Stede Broec,21491.5,21495.5
Totaal alle leeftijden,Steenbergen,23506,23557.5
Totaal alle leeftijden,Steenwijkerland,43284.5,43276
Totaal alle leeftijden,Stein (L.),25262,25099
Totaal alle leeftijden,Stichtse Vecht,63899.5,64002
Totaal alle leeftijden,Strijen,8699.5,8741
Totaal alle leeftijden,S�dwest-Frysl�n,84172,84106
Totaal alle leeftijden,Terneuzen,54643,54617
Totaal alle leeftijden,Terschelling,4803.5,4848.5
Totaal alle leeftijden,Texel,13566.5,13577.5
Totaal alle leeftijden,Teylingen,35690.5,35829.5
Totaal alle leeftijden,Tholen,25424,25430.5
Totaal alle leeftijden,Tiel,41682.5,41550
Totaal alle leeftijden,Tilburg,210959,212294.5
Totaal alle leeftijden,Tubbergen,21174,21131
Totaal alle leeftijden,Twenterand,33901.5,33860
