,regio,count_2014,count_2015,uitgaven_ov,aantal_verdachten,toename_bevolking
174,Leiderdorp,26833.0,26910.5,362000.0,220.0,0.002888234636455111
175,Leidschendam-Voorburg,73667.5,74101.0,1993000.0,750.0,0.005884548817321071
176,Lelystad,76280.0,76605.0,1349000.0,1030.0,0.004260618772941794
177,Leudal,36231.5,36192.0,626000.0,290.0,-0.001090211556242496
178,Leusden,29029.5,29185.5,368000.0,160.0,0.005373843848498941
179,Lingewaal,11069.5,11095.5,125000.0,80.0,0.002348796241926013
180,Lingewaard,45782.0,45869.0,2148000.0,260.0,0.0019003101655672536
181,Lisse,22437.5,22572.5,408000.0,140.0,0.0060167130919220055
182,Littenseradiel,10902.5,10856.0,92000.0,50.0,-0.004265076817243751
183,Lochem,33246.0,33288.5,491000.0,170.0,0.001278349275100764
184,Loon op Zand,23020.0,22944.5,269000.0,180.0,-0.0032797567332754126
185,Lopik,14049.0,14127.5,219000.0,80.0,0.005587586305075094
186,Loppersum,10168.0,10091.0,260000.0,70.0,-0.007572777340676633
187,Losser,22539.5,22455.5,230000.0,100.0,-0.003726790745136316
188,Maasdriel,24170.5,24134.5,1787000.0,210.0,-0.0014894189197575557
189,Maasgouw,23836.5,23761.5,284000.0,160.0,-0.003146435089044113
190,Maassluis,32140.5,32246.5,1289000.0,390.0,0.0032980196325508317
191,Maastricht,122442.5,122465.0,6034000.0,1060.0,0.00018375972395205914
192,Marum,10344.5,10308.0,88000.0,70.0,-0.0035284450674271353
193,Medemblik,43462.0,43664.5,1282000.0,290.0,0.004659242556716212
194,Meerssen,19158.5,19051.5,294000.0,90.0,-0.0055849883863559255
195,Menameradiel,13642.5,13577.5,132000.0,70.0,-0.004764522631482499
196,Menterwolde,12227.5,12215.0,168000.0,90.0,-0.0010222858311183807
197,Meppel,32833.0,32796.5,867000.0,240.0,-0.001111686413060031
198,Midden-Delfland,18582.5,18791.0,499000.0,110.0,0.011220234091214852
199,Midden-Drenthe,33325.0,33367.0,310000.0,220.0,0.0012603150787696925
200,Mill en Sint Hubert,10840.5,10816.0,862000.0,50.0,-0.002260043355933767
